spectral_centroid,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,chroma_stft_C,chroma_stft_C#,chroma_stft_D,chroma_stft_D#,chroma_stft_E,chroma_stft_F,chroma_stft_F#,chroma_stft_G,chroma_stft_G#,chroma_stft_A,chroma_stft_A#,chroma_stft_B,label,filename,source_file,segment_id
647.4428305975446,88.31275608306508,35.01686649565928,7.052219661533202,7.329705036319563,3.5322126042874493,0.40647595022078226,0.6055474816485137,0.41715964078656503,0.3493127299912668,0.5817008528077164,0.4606742842537202,0.4079137181592878,0.41586123086180987,0.776410256900653,0.9244894849774066,0.5969995503132829,0.569545227544827,Adur,00051_seg0.wav,Adur/00051.wav,0
669.6348897221894,107.06801105166788,36.65933653180345,4.598814685848069,8.387550316078897,3.230172161172521,0.267404536014949,0.5241296066806344,0.2886169795782553,0.20991000786118638,0.6124042409906215,0.32465060395393325,0.2815921065052021,0.32799010631590464,0.6957098593242813,0.9853427551399121,0.547032180131466,0.4918368282056323,Adur,00051_seg1.wav,Adur/00051.wav,1
631.0164377756199,105.51944507532086,37.645346034721555,4.895187999144687,7.944489193948257,3.3936050011493575,0.25244000970167674,0.5108780846550316,0.27526817478900506,0.19486305817153765,0.5904750506652978,0.2909165715487189,0.25912467292218255,0.31440147760778864,0.6981152773264095,0.9845008750236598,0.46559826056839604,0.42985619232026095,Adur,00051_seg2.wav,Adur/00051.wav,2
642.9682277348336,89.02159246453361,35.399010366183255,7.2792930719451405,7.106466944374024,3.6522465226448606,0.43489888767426776,0.618218488088307,0.4339151218854658,0.3500178766205938,0.6450045487807063,0.4801454729722204,0.40008917138274835,0.39844256605204237,0.7578431427721674,0.9187040847556007,0.593783997546727,0.5921148803104384,Adur,00052_seg0.wav,Adur/00052.wav,0
605.1526206414817,90.93417832245264,37.8948199244482,8.647791031988652,6.7802944759266435,3.536971848456371,0.35370149471844287,0.5815944023071665,0.3491053439325095,0.29819528611676543,0.6754538653954342,0.44043527831990936,0.33559497992118337,0.371054910502769,0.7371113135797186,0.9786558216129955,0.5777275077965494,0.5331093864514767,Adur,00052_seg1.wav,Adur/00052.wav,1
602.0412448978835,95.45517543325386,38.78030461107204,9.541138510158202,7.0953939193348665,1.255019114474555,0.30148885015365723,0.6250385051467838,0.30178515434488223,0.23732592768809066,0.6160344069740799,0.3451052863955915,0.2762612798045852,0.3248486214891241,0.727031164623587,0.9900029229180332,0.455665438948196,0.4280177268009904,Adur,00052_seg2.wav,Adur/00052.wav,2
641.6756167326643,90.66235166171732,33.86070445087154,9.570055809394896,7.624532829794947,4.0967125805149065,0.49440013153687073,0.5305925407749545,0.467812508609977,0.39051602806199115,0.5973682312819104,0.5060444360226874,0.42283730622440224,0.4687922335787579,0.8653852911709565,0.8973840524117547,0.6957757066778547,0.7223654100638289,Adur,00053_seg0.wav,Adur/00053.wav,0
636.7388817636457,105.81696526193943,36.93240231820258,6.922803987461436,7.054847012339985,0.8143663433583649,0.3415211045985971,0.5771666805733734,0.33736407994338946,0.24243914111977816,0.6916188688209249,0.35653243614475294,0.3108862899653973,0.34246480994518413,0.6660188139613287,0.9700458065117548,0.4776226166762348,0.5103353587692507,Adur,00053_seg1.wav,Adur/00053.wav,1
608.2673561002788,100.03522586045204,37.96447968742175,8.55590110349514,7.77213790695459,1.3576441359466906,0.31354271413664137,0.5253165432068512,0.32933499434787467,0.23960712606415369,0.5827850097992107,0.33863870448666783,0.3063693222470382,0.33830361406484927,0.6724214002332731,0.9962357232432961,0.5211194316749643,0.5140503134775429,Adur,00053_seg2.wav,Adur/00053.wav,2
648.2294805830682,104.65069129127849,36.56379163664378,5.173724940969062,6.9911727199584615,2.1644955216787065,0.3985516422240256,0.5748985961216426,0.3977327400632484,0.33207950531857655,0.6858398126678282,0.44447889294113807,0.37284581050025084,0.4012673245452761,0.7372892405579767,0.952458803666102,0.5971920379454446,0.560477886855709,Adur,00054_seg0.wav,Adur/00054.wav,0
635.0121552524869,112.63591997851216,38.18643149331909,5.189782327877443,6.587560197016256,1.6372376794990962,0.2987093008644791,0.511033184866738,0.3024233776093712,0.24367874910583448,0.6160626945163432,0.3504857593529869,0.30642589368643414,0.36919236967002034,0.7575629618481253,0.9760377257252442,0.5105433583775746,0.47459229057937996,Adur,00054_seg1.wav,Adur/00054.wav,1
643.2148750192375,108.33306079087659,37.59759018324208,4.83262787253059,6.200536547567961,2.316203672253182,0.31028171830344065,0.5319999846403289,0.32673357316568474,0.22394703108940486,0.6898994961237955,0.32998768823523017,0.3215716669526476,0.36679623874097833,0.7428715214764758,0.9766182753094849,0.5430087942859332,0.4823548221841057,Adur,00054_seg2.wav,Adur/00054.wav,2
667.5790268305188,97.35530860090789,35.428689370453945,4.8157167970490296,6.818173711147042,1.1857651605929997,0.40470093011546043,0.6062376394006523,0.40384061340575556,0.33419396089302233,0.7618764682306479,0.44784910364579217,0.36612578775210936,0.3902853660443363,0.7137786241746604,0.9396218322629076,0.5722866848692337,0.6288991288189498,Adur,00055_seg0.wav,Adur/00055.wav,0
684.3598673217806,109.44759779145936,36.526679745373855,4.24906261723595,6.211004225223244,0.24190346847083746,0.25041434640316124,0.4556014491587688,0.24312925175807565,0.20847970986453113,0.6123994708484798,0.29864159413628993,0.251674679713298,0.32061939108966153,0.6503758896461305,0.9967007585342265,0.4498402485974787,0.44136418937505395,Adur,00055_seg1.wav,Adur/00055.wav,1
657.212812614849,104.25955994400846,36.83228807133786,3.4876751864849678,7.484409118479861,0.38270947060735006,0.29224000565301805,0.5381006006210906,0.3217521358457171,0.23663377010359213,0.705643982406669,0.3579032457262114,0.3179524436676982,0.3641553832239645,0.7406662054456135,0.9608529696180921,0.49825291087467294,0.5902188457504385,Adur,00055_seg2.wav,Adur/00055.wav,2
585.4462962100018,85.1497674088011,38.980755306139926,9.43695463329711,6.696610263290264,2.46678302524846,0.4080374097919233,0.5217403980852491,0.3739655333730408,0.2873138362722706,0.637723673678742,0.39389137009134556,0.33177787529310365,0.3743058372811903,0.7838008740233009,0.9323628244331629,0.6046053411004539,0.5306629997332571,Adur,00056_seg0.wav,Adur/00056.wav,0
