feature,between_class_std,within_class_std,separation_score,min_class_mean,max_class_mean,mean_range
tonnetz_4,0.19126666677073897,0.06191999588747587,3.0889321620485632,-0.23940757385328978,0.2711174094321901,0.5105249832854799
tonnetz_3,0.17328704997142172,0.058613389109409955,2.956441396827568,-0.262626173967729,0.22330780970034506,0.48593398366807405
tonnetz_2,0.1232841226575237,0.04412973441423086,2.7936747024194033,-0.17506408742657084,0.1927767387907579,0.3678408262173287
tonnetz_1,0.11770885078050145,0.04402462141550281,2.67370500860347,-0.20800032459878534,0.15381367417100691,0.36181399876979226
tonnetz_6,0.0501566086753564,0.020406409696702255,2.457885018522483,-0.07028733967439614,0.0956523742482386,0.16593971392263474
chroma_cens_F#,0.09908169682184456,0.044134920796332654,2.2449728023546753,0.10516482442617417,0.42520807683467865,0.3200432524085045
tonnetz_5,0.05914253448391048,0.026695432989442748,2.215455149474429,-0.14257961409328473,0.08113793590966595,0.22371755000295068
chroma_cens_C,0.104382744511902,0.052068853459860426,2.0047060301101127,0.21485693901777267,0.5623416036367417,0.347484664618969
chroma_cens_A#,0.1020336078728982,0.05164890505653812,1.9755231550640973,0.13040162003599107,0.4268694619337718,0.29646784189778075
chroma_stft_F#,0.16758088101451818,0.08726791718417655,1.9203034336300626,0.2108895406126976,0.7930992364883422,0.5822096958756446
chroma_cens_A,0.09288335272029448,0.05079636368155609,1.8285433442161916,0.1460410825908184,0.48884958028793335,0.34280849769711497
chroma_stft_A#,0.16126606675332641,0.08926688201981221,1.806560989970888,0.2772162135690451,0.8055786440769831,0.528362430507938
chroma_cens_B,0.10092400376582641,0.058351641998008366,1.729582927062637,0.15598403645510023,0.48794815838336947,0.33196412192826924
chroma_stft_F,0.14568948796163922,0.08437451012534115,1.7267002527802842,0.17497278998295465,0.7116110146045684,0.5366382246216138
chroma_stft_D,0.17366316013410882,0.10207033249561843,1.7014068230018125,0.2031681075692177,0.8135511170734059,0.6103830095041882
chroma_stft_A,0.17135426248437358,0.10167942733283632,1.6852402396353436,0.3212102591991425,0.9277761042118072,0.6065658450126648
chroma_cens_F,0.07518336171835725,0.04791943512535371,1.5689534219609043,0.14269665703177453,0.39798676371574404,0.2552901066839695
chroma_stft_B,0.1713386491500596,0.10944979652072653,1.5654542502289,0.33023504018783567,0.8909772872924805,0.5607422471046448
chroma_cens_G#,0.08628063070507974,0.05560111917407678,1.5517786689679953,0.26213883310556413,0.530144852399826,0.2680060192942619
chroma_cens_C#,0.08463189383073795,0.05520866539347072,1.5329458378964362,0.22657211869955063,0.5022883594036103,0.27571624070405965
chroma_stft_G#,0.1634028274371397,0.11148838880662647,1.4656488373920034,0.3038562759757042,0.8662724256515503,0.5624161496758461
chroma_stft_C,0.1628861694218508,0.11176210898107561,1.457436432677124,0.2737154895439744,0.86496701836586,0.5912515288218856
chroma_stft_G,0.12372777138782408,0.08496700402204192,1.456186113796915,0.27347556352615354,0.7069654405117035,0.43348987698554997
chroma_stft_D#,0.11375696694293397,0.08025696125858091,1.4174093456693304,0.1512374620884657,0.5474493081370989,0.39621184604863324
chroma_cens_D,0.08111832304255881,0.058005358761097275,1.3984625692370136,0.1286413162946701,0.41631245613098145,0.2876711398363113
chroma_cens_D#,0.0933222962058073,0.0685079353709378,1.3622114825167562,0.12450403794646263,0.42059170951445896,0.2960876715679963
chroma_cens_G,0.07499796402618462,0.055321639100702674,1.35567140173965,0.17119769975543023,0.40257773697376253,0.2313800372183323
chroma_stft_C#,0.13389139907945857,0.1083826613452294,1.2353581044940078,0.24437334015965462,0.701409888267517,0.45703654810786243
mfcc_3,6.355391269791346,5.345693677812851,1.1888805556085669,4.904436713457107,26.255445289611817,21.35100857615471
mfcc_4,2.0990819946464265,2.0800949297556977,1.0091279799874129,24.684228723699395,32.32118167877197,7.6369529550725765
mfcc_2,4.6870413643049105,4.652660457885286,1.0073895154677268,83.8423344005238,101.25701675415038,17.41468235362659
mfcc_5,2.6507842816972778,2.6423896059067524,1.003176925829469,11.188818359375,20.459164428710938,9.270346069335938
chroma_stft_E,0.06031106206862939,0.07456448154457321,0.8088443829999221,0.19191608130931853,0.38019089698791503,0.1882748156785965
chroma_cens_E,0.04418832140821855,0.05769985983066216,0.7658306543187914,0.19825238436460496,0.36348057687282564,0.16522819250822068
mfcc_1,18.56754546636965,25.545670376735917,0.7268372758492513,-114.1777498071844,-49.92467403411865,64.25307577306575
spectral_centroid,27.989436599007583,41.58445357138835,0.6730745313499888,635.5772992730815,748.7588743220177,113.18157504893622
